Datacleaned,,,,,,
,Title,Abstract,source&dates,source,dates,Url
0,武汉理工研究生自杀 研究生为何会自杀,现在的学生压力很大，如果一旦承受不了，甚至会做出自杀的事情来，近日网曝武汉理工研究生自杀，而他自杀的原因似乎与导师有关，那么他究竟发了什么事情呢?一起来看看吧。 　　据家人爆料称，这个自杀的研究生,新淮安网    2018-04-01,新淮安网,2018-04-01,https://www.ringdata.com/news/detail?id=20180401753816d76d1342e1e2e039e79ce3e6ec
1,美大学生在校内开枪扫射后自杀,胡乱开枪 　　枪击发生在得克萨斯大学奥斯汀分校。校方发言人朗达·韦尔登说，上午8时许，一名男子携带武器在校园内胡乱开枪，接着来到佩里卡斯塔涅达图书馆6楼，朝自己连开数枪后死亡。 　　奥斯汀警,燕赵晚报    2010-09-30,燕赵晚报,2010-09-30,https://www.ringdata.com/news/detail?id=20100930d0ecc5d9e7e1a8c5944342d0ec12aa92
2,女研究生宿舍内自杀,9日，网上各大论坛热传几近相同的帖子，上海海事大学海商法女研究生杨元元在宿舍卫生间自杀身亡，矛头指向海事大学校方。  　　上海复旦大学社会学教授胡守钧称，死者已逝，为表尊重，大家不应再评论死者，也,滁州网    2009-12-14,滁州网,2009-12-14,https://www.ringdata.com/news/detail?id=200912145a274f321f8bbc35eea772abb12db6ce
3,女研究生跳运河自杀,20日上午8时30分许，北京通州区东关大桥北侧，北京物资学院一名研二女生被发现跳入运河轻生。经过两个多小时打捞，消防员将尸体抬回岸上。知情者表示，死者生前患有抑郁症等多种疾病，曾留下遗书。警方表示,呼和浩特日报    2011-02-22,呼和浩特日报,2011-02-22,https://www.ringdata.com/news/detail?id=20110222c794362b1ac2b90d191af253e8d14b08
4,论文“卡壳”，女研究生自杀,A05-A06版,华声在线网    2011-07-08,华声在线网,2011-07-08,https://www.ringdata.com/news/detail?id=20110708dcfecb1f73873ac1222bca2299d39436
5,疑因论文未过研究生自杀,5月18日，28岁的中南大学研三学生姜东身坠楼身亡。 　　5月23日，姜东身哥哥姜东中告诉记者，弟弟死前在网上留下5000字遗书，称因论文答辩遭导师为难无法通过，选择自杀；他和导师见面时，后者,中国常州网    2015-05-25,中国常州网,2015-05-25,https://www.ringdata.com/news/detail?id=20150525eefecdc948d50d1ae76197e5389cff54
6,外经贸研究生自杀于校外,本报北京2月22日讯（记者田浩通讯员王丽英于洋）李女士正在对外经济贸易大学留校工作并就读研究生的儿子于校外租屋处自杀身亡，她认为儿子自杀源于学校未解决好户口和入职问题，李女士将外经贸大学告上法院，要求,人民法院报    2010-02-23,人民法院报,2010-02-23,https://www.ringdata.com/news/detail?id=201002232713470707390d0a6e1f22fef6cd897b
7,女研究生和网友相约自杀,女研究生和网友相约自杀 两人留遗书称自愿，一人死亡一人获救；家人称死者因病影响学业，心理压力大 2015年7月5日,潇湘晨报    2015-07-05,潇湘晨报,2015-07-05,https://www.ringdata.com/news/detail?id=20150705df4be735b68816ccf2a6c24dfce43a1b
8,中南大学研究生留遗书自杀,据《苏州日报》消息   28岁的中南大学机电工程学院研三学生姜东身从学校图书馆六楼跳楼身亡。23日，姜东身哥哥姜东中称，弟弟死前在网上留下5000字遗书，称因论文答辩遭导师为难无法通过，选择自,滁州网    2015-05-26,滁州网,2015-05-26,https://www.ringdata.com/news/detail?id=201505269e23dd807b33c8ebee27ddab0c31e4e1
9,贫困女研究生 宿舍自杀身亡,国内新闻……7版,长春晚报    2009-12-11,长春晚报,2009-12-11,https://www.ringdata.com/news/detail?id=20091211b63dbb8d8e0c05864bd2a6bf83893ada
10,眼看要毕业 研究生宿舍自杀,昨天下午2点左右，在苏州大学本部一宿舍楼内发生一起悲剧，一名即将毕业的研究生被发现在厕所里上吊身亡。   昨天傍晚，当记者来到事发地时，警方已封锁了现场。据宿舍楼内的管理人员介绍，事情大约发生,现代快报    2013-03-07,现代快报,2013-03-07,https://www.ringdata.com/news/detail?id=20130307565f6cf5e44152a49df720f6957b0176
11,贫困女研究生宿舍自杀身亡,据新闻晚报报道网上各大论坛9日热传几近相同的帖子，上海海事大学海商法女研究生杨元元在宿舍卫生间自杀身亡，矛头指向海事大学校方。上海海事大学宣传部在官方网站连夜挂出相关情况说明，披露了事发当日的情况。,安徽日报    2009-12-11,安徽日报,2009-12-11,https://www.ringdata.com/news/detail?id=200912115ea2c0afb9176ba36978f705f24fadfe
12,中南大学一研究生跳楼自杀,据澎湃新闻报道5月18日，28岁的中南大学研三学生姜东身从学校图书馆六楼跳楼身亡。     5月23日，姜东身哥哥姜东中告诉澎湃新闻，弟弟死前在网上留下五千字遗书，称因论文答辩遭导师为难无法通,贵州都市报    2015-05-24,贵州都市报,2015-05-24,https://www.ringdata.com/news/detail?id=20150524c8ed088a5e0e20eb436eb0bcfe4e522a
13,疑因论文受刁难一研究生自杀,A07　国事 　　本稿件所含文字、图片和音视频资料，版权均属齐鲁晚报所有，任何媒体、网站或个人未经授权不得转载，违者将依法追究责任。,齐鲁晚报    2015-05-24,齐鲁晚报,2015-05-24,https://www.ringdata.com/news/detail?id=20150524fba497e3a931b68c0ec2619883b8460c
14,贫困女研究生宿舍内自杀身亡,12月9日，网上各大论坛热传几近相同的帖子，上海海事大学海商法女研究生杨元元在宿舍卫生间自杀身亡，矛头指向海事大学校方。9日晚11点30分左右，上海海事大学宣传部连夜在官方网站挂出相关情况说明，披,浙青网    2009-12-11,浙青网,2009-12-11,https://www.ringdata.com/news/detail?id=200912119df487c011229766f8f405d24a3d33ab
15,"勿对女研究生自杀进行\""浅阅读\""",,多彩贵州网    2012-04-19,多彩贵州网,2012-04-19,https://www.ringdata.com/news/detail?id=20120419460e1d026d7085b1d9b5ed3f97794e33
16,研究生回家种地老父愤而自杀,执着于理想中的“铁饭碗”，工作同时还要创作文学     河北人苗卫芳2008年考取河北大学研究生，毕业后，苗卫芳没能找到一份理想的“铁饭碗”工作，最终回到村里种地。苗卫芳回乡后，其父,滁州网    2012-10-18,滁州网,2012-10-18,https://www.ringdata.com/news/detail?id=20121018e5e53e04434cd4f2c87f088e7caeba39
17,女研究生宿舍内自杀身亡（组图）,●1979年11月出生于湖北宜昌市 　　●2002年7月毕业于武汉大学商学院经济学专业 　　●2002年8月-2004年8月在武汉现代英语培训中心担任英语讲师 　　●2004年9月-2005年9月,胶东在线网    2009-12-10,胶东在线网,2009-12-10,https://www.ringdata.com/news/detail?id=20091210e6028998e62b8784fa1d2f6fc344fbe2
18,“研究生自杀”反证高教转型之迫,,人民网    2014-12-10,人民网,2014-12-10,https://www.ringdata.com/news/detail?id=201412101691ec562c5d694c6b7cf95b39078f27
19,研究生涉嫌抄袭 不堪压力自杀,据《楚天金报》消息 因毕业论文涉嫌抄袭，被原作者和校方发现后，武汉某高校研究生晓军（化名）不堪压力，选择了自杀。 　　今年22岁的晓军来自浙江，在武汉一高校读研一。2月底，系里的领导找到他，询问其,滁州网    2009-03-23,滁州网,2009-03-23,https://www.ringdata.com/news/detail?id=20090323bf5d7442d14e3b3306fc47b5d362fe4f
21,男女大学生相继在校内跳楼身亡 疑为殉情自杀,“苏州大学独墅湖校区有一对男女跳楼了！”昨天下午2点20分左右，苏州大学独墅湖校区学生公寓一期发生惨剧，一男一女两名大学生相继从公寓区内的304号楼8楼跳下，当场死亡。有在校生称，两人事发前曾发生,胶东在线网    2011-10-05,胶东在线网,2011-10-05,https://www.ringdata.com/news/detail?id=20111005d7b1da6e94dfb95091c2b85e6990d28e
22,大学生感情受挫 学校内服下50粒安眠药欲自杀,中新网 重庆11月6日电 (记者 韩璐)因为感情受挫，20岁大一新生何某选择在学校内吞服50粒安眠药自杀。记者6日从重庆沙坪坝区公安局获悉，,中国新闻网    2013-11-06,中国新闻网,2013-11-06,https://www.ringdata.com/news/detail?id=20131106199e72d954e09c70b1b87e2fc8af5ef4
23,广西一大学生校内身中8刀身亡 警方称系自杀,海口网3月25日消息广西城市职业学院一名海南籍大学生3月17日在校内死亡，死者脖子上有多处刀伤，警方认定为“自杀”。死者家属随后在网上发帖对案件提出诸多疑点，不认同“自杀”结论，并指该校接连发生多,海口网    2011-03-25,海口网,2011-03-25,https://www.ringdata.com/news/detail?id=201103257c6e5effd2655bcc2f48f859bf5668c1
24,研究生回乡种地何以让父亲自杀？,,多彩贵州网    2013-01-14,多彩贵州网,2013-01-14,https://www.ringdata.com/news/detail?id=20130114b60210e2d7e77fb8b6b86f74823853ee
26,研究生回乡种地 老父亲郁闷自杀,⊙本期话题     ⊙新闻背景     河北人苗卫芳2008年考取河北大学研究生，苦读三年毕业后，苗卫芳没能找到一份理想的“铁饭碗”工作，最终回到村里种地。     街坊邻居议论纷纷难以理解，,贵州都市报    2012-10-21,贵州都市报,2012-10-21,https://www.ringdata.com/news/detail?id=20121021a6fa960186134c2e29911feeb75aa97c
29,女研究生和男网友相约旅馆自杀,都是如花似玉的年纪，24岁的女研究生，17岁的大男孩，原本是无忧无虑的青春，却相约在旅馆烧炭自杀。一纸遗书，轻描淡写地表示“自愿”，这自愿背后有多少是生命无法承受之重…… 事件经过: 男女网友旅馆烧木,青海日报    2015-07-06,青海日报,2015-07-06,https://www.ringdata.com/news/detail?id=201507069f8c19b05796421ae535f0efe8d47343
31,上海贫困女研究生宿舍自杀身亡,据《新闻晚报》报道   9日，网上各大论坛热传几近相同的帖子，上海海事大学海商法女研究生杨元元在宿舍卫生间自杀身亡，矛头指向海事大学校方。   9日23点30分左右，上海海事大学宣传部在官方网站连,长春晚报    2009-12-11,长春晚报,2009-12-11,https://www.ringdata.com/news/detail?id=200912112ae5d51f4be6985946a8e7e5273d2409
34,香港科技大学一博士生抑郁自杀,69年后不敢多忆火后惨状 　　本报讯 据《现代快报》报道，10日晚，香港科,长沙晚报网    2007-11-13,长沙晚报网,2007-11-13,https://www.ringdata.com/news/detail?id=2007111341362bb606ca2fbb6d28250aa2a66879
35,研究生跳楼自杀，别把原因推给“脆弱”,3月29日，网友“陶崇园姐姐”发长微博称，其弟弟陶崇园就读武汉理工大学自动化学院研究生期间，因“长期遭受导师压迫，被迫叫导师爸爸、给导师买饭打扫卫生、被导师阻止深造”等原因，于3月26日清晨在学校,东北新闻网    2018-04-02,东北新闻网,2018-04-02,https://www.ringdata.com/news/detail?id=20180402cb4c1c66a0f3217ee6a6e6eb4739561f
36,研究生自杀，板子不能只打任何一方,3月26日，武汉某高校硕士研究生陶某跟母亲进行了一场有关导师的对话后，从宿舍楼坠楼身亡。该校宣传部表示，自杀事件发生后，学校高度重视，立即成立专班调查和处置相关事宜。 而在数月前，西安某高校也发生了,人民政协网    2018-04-03,人民政协网,2018-04-03,https://www.ringdata.com/news/detail?id=20180403afd655f60af25faa87fbf8228ffc153d
37,上海研究生自杀 直指社会保障缺陷,杨元元所写下的遗书 本文为本网专稿，未经允许，严禁转载！ 　　2009年11月26日早上，上海海事大学海商法女研究生杨元元，在宿舍24#506的卫生间用两条系在一起的毛巾将身体悬挂在卫生间水龙头上,中国山东网    2009-12-11,中国山东网,2009-12-11,https://www.ringdata.com/news/detail?id=200912119f48ac81a21203c8439b5531fec82e73
38,研究生欧洲杯赌球输万元跳湖自杀,,央广网    2016-06-28,央广网,2016-06-28,https://www.ringdata.com/news/detail?id=2016062819476f254ba28a42455f7715da798ef2
39,研究生自杀：板子不能只打任何一方,和谐的师生关系至少应该有三个方面：一是德行与学问俱佳的导师，二是真诚而好学的学生，三是缜密且有力制度保障。 ----------------------------------     3月2,中国青年报    2018-04-03,中国青年报,2018-04-03,https://www.ringdata.com/news/detail?id=201804038ea29d4ff6988b2fc67add8bd88471ce
42,研究生宿舍烧炭自杀 警方封锁宿舍自杀原因还在调查,新淮安网(www.xhuaian.com)3月1日讯：近日，在广西大学发生了一件让人唏嘘的事情，该校的一名研究生竟然被发现躺在学校的厕所里死亡，而在经过调查后发现这名研究生竟然是烧炭轻生自杀，据悉,新淮安网    2017-03-01,新淮安网,2017-03-01,https://www.ringdata.com/news/detail?id=2017030174f6228b478b33b476e13bd8b51b3457
43,苏州高校大四学生拍“自杀式”毕业照,,央广网    2012-03-27,央广网,2012-03-27,https://www.ringdata.com/news/detail?id=201203279a4d34af21286713d115ebf9f2b8e6b0
44,研究生自杀的个体悲剧不能盲目放大,·网站首页 ·贵州手机报 ·投稿 ·96677 ·新闻排行 ·繁体 ·RSS ·ENGLISH ·日本�Z 关键词: 全部 贵州 原创 国内 视频 评论 策划 省城 国际 娱乐 文化 体育 天一 教育,多彩贵州网    2017-03-19,多彩贵州网,2017-03-19,https://www.ringdata.com/news/detail?id=2017031991111847fadddaa4b0173f66a3b80be9
45,刚毕业研究生疑因求职受挫跳楼自杀,,人民网    2014-12-09,人民网,2014-12-09,https://www.ringdata.com/news/detail?id=20141209bbb54f79afe72af93696f56dd67f33a0
46,自杀研究生内心深处的痛苦我们不懂,,多彩贵州网    2013-01-14,多彩贵州网,2013-01-14,https://www.ringdata.com/news/detail?id=201301144ab89ecc9c993bffa0df73a549c0ef03
47,上海海事大学女研究生宿舍自杀身亡,海事大学网站发布情况说明  杨元元生前照片资料图片 杨元元自杀所用的毛巾。 杨元元所写下的遗书  　　昨天，网上各大论坛热传几近相同的帖子，上海海事大学海商法女研究生杨元元在宿舍卫生间自,内蒙古新闻网    2009-12-11,内蒙古新闻网,2009-12-11,https://www.ringdata.com/news/detail?id=20091211a656265336975e225d0f5a333c866c8e
49,研究生回乡种地父亲自杀成“反面教材”,据《河北青年报》10月17日报道，河北人苗卫芳2008年考取河北大学研究生，毕业后，苗卫芳没能找到一份理想的“铁饭碗”工作，最终回到村里种地。苗卫芳回乡后，其父苗风山感觉压力巨大，选择了服毒自杀。,人民网    2012-10-22,人民网,2012-10-22,https://www.ringdata.com/news/detail?id=20121022f7cc2002488e8dc1104c2970e9b7b34b
